language_id|majorType_id|name|description
nb|M2|Afotisk fast saltvannsbunn|"Afotisk fast saltvannsbunn omfatter fast fjell og grove sedimenter som er stabile nok til å ha permanente samfunn, på større dyp enn kompensasjonsdypet (der planteproduksjonen er mindre enn nedbrytningen og alger ikke lenger forekommer regelmessig). Hovedtypen inneholder både skrånende fast fjell (‘knaus’) og loddrette vegger; begge deler forekommer ned til de største dyp. Med økende dyp endrer artssammensetningen seg, med økende tilpasning til et stabilt kaldt miljø med begrenset næringstilgang. Også på store dyp finnes betydelig variasjon i strømforhold, som gir seg utslag i variasjon i artssammensetningen. Med økende strøm erstattes sedimentspiserne av detritusspisere, som i sin tur erstattes av særlig strømtolerante arter. Dype kløfter med sterk strøm er f.eks. observert på den midtatlantiske ryggen ned til ca. 2500 m.\n\tStedvis kan faunaen domineres av større, bestandsdannende arter, først og fremst store hornkoraller som sjøtre (Paragorgia arborea), men også sjøbusk (Paramuricea placomus) og risengrynkorall (Primnoa resedaeformis), og svamper."
en|M3|Littoral rock|Littoral rock includes rockwalls, outcrops and stable boulders in the tidal belt, delimited upwards by the shift from dominance by saltwater-adapted organisms (e.g., the barnacle Semibalanus balanoides and the winkle Littorina littorea) to dominace by terrestrial organisms, typically the lichen Verrucaria maura. Downwards littoral rock is delimited by the low tide level. This major type includes the upper infra littoral zone, comprises communities from both salt and brackish water as well as variation from sheltered via moderately to strongly exposed hard substrates.
nb|M3|Fast fjærebeltebunn|"Fast fjærebeltebunn omfatter fast fjell og stabile blokker med permanente samfunn av flerårige alge- og dyrearter, i hele fjærebeltet. Nedre grense settes ved normalt fjæremål, det vil si nivået som vanligvis konstant fuktes av havvann (upper infralitoral zone). Øvre grense settes der dominans av saltvannstilknyttete arter som fjærerur (Semibalanus balanoides) og vanlig strandsnegl (Littorina littorea) avløses av dominans av den svarte laven marebek (Verrucaria maura). Dette er ei viktig biologisk grense, mellom saltvannstilknyttete arter og landtilknyttete arter (Du Rietz 1947, Sjörs 1967, Rueness 1998, Fredriksen & Throndsen 2001). Den eksakte plasseringen av denne grensa avhenger av eksponeringen; desto sterkere eksponering, desto lengre opp i fjærebeltet går grensa. På temmelig eksponerte steder [vannpåvirkningsintensitet (VF∙f)] går grensa omtrent mellom øvre landstrand og bølgeslagsbeltet [supralitoralbeltet; dvs. mellom trinnene TV∙h og TV∙i langs tørrleggingsvarighet (TV)].\n\tHovedtypen inneholder betydelig variasjon i artssammensetning, først og fremst relatert til grad av eksponering [vannpåvirkningsintensitet (VF)] og vertikal plassering [tørrleggingsvarighet (TV)]. Det er imidlertid også betydelig variasjon relatert til marin salinitet (SA), sannsynligvis også mellom skrånende fast fjell (‘knauser’) og loddrette vegger. Størst differensiering langs VF og TV finnes på bergknauser i normalsalt vann, mens variasjonen er mindre på steder med redusert salinitet (brakkvann, SA∙1&2) og på bergvegger (HF∙2).\n\tRur (Semibalanus balanoides, Balanus spp.), strandsnegl (Littorina spp.) og blåskjell (Mytilus edulis) er typiske dyrearter, mens ulike tangarter dominerer ved ulike kombinasjoner av hLKM. Hovedtypen dekker oftest små arealer, men forekommer som ei smal stripe langs det meste av Norges lange kystlinje."
en|M4|Euphotic marine sediment|Euphotic marine sediment comprises soft substrates in the marine hydrolittoral and euphotic sublittoral belts, extending down to the compensation point. Euphotic marine sediment is found on sites protected from the action of strong waves and currents, typically dominated by sand and silt or, on more exposed sites, by gravel and pebbles. The organic matter content varies a lot, from pure mineral to pure organic substrates. Special substrates such as dy, gyttja, shellbeds and maerlbeds belong here, as well as the large mudflats that can be seen many places along the coast of Norway, exposed at low tide.
nb|M4|Eufotisk marin sedimentbunn|Eufotisk marin sedimentbunn omfatter natursystemer på ikke-stabiliserte sedimenter fra og med vannstranddelen av fjærebeltet (hydrolitoralbeltet; det vil si den delen av fjærebeltet der bunnen er dekket av vann mer enn halve tida) ned til kompensasjonsdypet, det vil si så langt ned som det er mulig for fotosyntetiserende fastsittende organismer å klare seg. Naturlig permanent oksygenfrie sedimenter er ikke inkludert i hovedtypen. Med ikke-stabilisert menes at sedimentene ikke er stabile nok til å ha stabile påvekstsamfunn av blad- og buskformete alger. Eufotisk marin sedimentbunn omfatter variasjonen fra relativt beskyttete steder dominert av silt og leire til nokså eksponerte steder dominert av grus og småstein. Innholdet av organisk materiale varierer fra nesten helt uten organisk materiale (rein sand, grus og/eller stein) til bunn som nesten er totaldominert av organiske sedimenter, og omfatter alle kornstørrelser fra den fineste leira til stein. Bunnfaunaen domineres av arter som lever nedgravd i sedimentet (infauna) og arter som lever på bunnen (epifauna). Mengden epifauna øker mot grovere og mer stabile sedimenter. Artsrikdommen avtar fra nedre fjæremål opp gjennom hydrolitoralbeltet. Store ‘mudderfjærer’ som tørrlegges ved lavvann, typisk dominert av fjæremark (Arenicola marina), muslinger og andre gravende dyr, hører til denne hovedtypen.
en|M5|Aphotic marine sediment|Aphotic marine sediment comprises all soft substrates below the compensation point, where the light intensity is too low to support photosynthesis. Algae are absent; various animal communities dominate. Species richness generally decreases towards larger depths. Aphotic marine sediment is typically found on sites protected from the action of strong waves and currents, dominated by sand and silt, but special substrates such as dy, gyttja, shellbeds, sponge spicule beds and coral gravel beds also belong to this major type.
nb|M5|Afotisk marin sedimentbunn|"Afotisk marin sedimentbunn omfatter natursystemer på ikke-stabiliserte sedimenter nedenfor kompensasjonsdypet, som ikke har naturlig permanent oksygenfrihet. Med ikke-stabilisert menes at sedimentene ikke er stabile nok til å ha stabile påvekstsamfunn. Afotisk marin sedimentbunn omfatter variasjonen fra relativt beskyttete steder dominert av silt og leire til nokså eksponerte steder dominert av grus og småstein. Innholdet av organisk materiale varierer fra nesten helt uten organisk materiale (rein sand, grus og/eller stein) til nesten totaldominans av organiske sedimenter, og omfatter alle kornstørrelser fra den fineste leira til stein. Bunnfaunaen domineres av arter som lever nedgravd i sedimentet (infauna) og arter som lever på bunnen (epifauna). Mengden epifauna øker mot grovere og mer stabile sedimenter.\n\tStedvis kan faunaen domineres av større, bestandsdannende arter, f.eks. store hornkoraller (som først og fremst finnes i M2 Afotisk fast saltvannsbunn og på M6 Korallrev), eller, mer karakteristisk for sedimentbunn, av sjøfjær-arter eller svamper.\n\tMot større dyp finner det sted en gradvis utskifting av faunaen og en gradvis reduksjon i artsantallet for de fleste dyregrupper. Et viktig økologisk skille, som også viser seg i artssammensetningen, går omkring 700 meters dyp mellom atlantisk vann med temperaturer som varierer, men er over 0 °C, og dyphavsvann med stabile temperaturer under frysepunktet."
en|M6|Coral reef seabed|Coral reef seabed is built by the activity of reef-building stone corals over hundreds and thousands of years. The stone coral Lophelia pertusa is quantitatively most important, another common species is the zigzagcoral Madrepora oculata. The coral reefs of Norway are cold-water reefs which lack the symbiotic algae of tropical coral reefs and, accordingly, occurs in the aphotic belt on the Norwegian continental shelf at depths from 40 to ca. 600 m, associated with Atlantic watermasses.
nb|M6|Korallrev|Korallrev er særpregete natursystemer som er bygd opp av samfunnsdannende steinkorallers kalkskjelett. Steinkorallen Lophelia pertusa er den absolutt dominerende revdannende korallen i norske farvann, men også siksakkorall (Madrepora oculata) kan danne større bestander. Norske korallrev er, i motsetning til tropiske korallrev, kaldtvannskorallrev som ikke er avhengig av lys. Den komplekse romlige strukturen korallrevene har, og deres langlevethet (de eldste delene av norske korallrev er datert til rundt 9 000 år) gjør dem til svært artsrike økosystemer. Imidlertid er det ingen av artene som er funnet på norske Lophelia-rev som ikke også er kjent fra andre natursystemer. I norske farvann er korallrev kjent fra Ytre Oslofjord, utenfor kysten av Hordaland og fra Sunnmøre til Vest-Finnmark. Korallrev forekommer i det afotiske beltet, på dyp fra 40 m (i Trondheimsfjorden) til om lag 600 m, begrenset nedad av de kalde dyphavsvannmassene.
en|M7|Seagrass bed|Seagrass bed includes soft marine sediments dominated by eelgras (Zostera marina) and other hydrophytic vascular halophytes in the hydrolittoral belt and in shallow waters of the sublittoral belts. Green and brown algae may co-occur with the vascular plants, forming a three-dimensional community rich in micro-niches and, hence, in associated species.
nb|M7|Marin undervannseng|Marin undervannseng omfatter sammenhengende områder på grunt vann og i vannstrand-delen av fjærebeltet som er dominert av langskuddplanter (plante med lange stengler og med blader i de frie vannmassene, oftest festet på bunnen), først og fremst ålegras (Zostera marina), men en rekke andre karplantearter kan også dominere eller inngå. Forekomst av grønn- og brunalger (på blandete sedimenter) er ikke uvanlig. Karplantedominerte marine undervannsenger kan ha et stort mangfold av assosierte arter, både påvekstorganismer og fauna som finner næring og beskyttelse der, i tillegg til den typiske sedimentbunnsfaunaen av organismer som lever på (epifauna) og i sedimentet (infauna).
en|M8|Tidal swamp|Tidal swamp comprises dense, macrohelophyte-dominated stands in the hydrolittoral tidal belt, also including extensions of the helophyte belt downwards into the sublittoral belt and upwards into the geolittoral belt. Communities dominated by one single species, e.g., Phragmites australis, S. tabernaemontani and Bolboschoenus maritimus, are common. Tidal swamps are typically found on fine sediments in sheltered sites, such as estuaries and narrow bays. Freshwater supplies from the land-side are common.
nb|M8|Helofytt-saltvannssump|Helofytt-saltvannssump omfatter tette bestander av makrohelofytter, det vil si storvokste sumpplanter [helofytt defineres som ‘plante som er tilpasset et liv i eller i nær tilknytning til vann (ferskvannsbunn, saltvannsbunn og/eller fjærebeltemark/bunn og/eller våtmark) gjennom forekomst av luftekanaler i rot, stengel og/eller blad; rota eller rotstokken kan mer eller mindre permanent stå i vann mens blader og blomster rager opp i lufta’] med røttene i sublitoral bunn (som ikke tørrlegges ved lavvann), i vannstrandbeltet eller noe opp i landstrandbeltet. Makrohelofyttene skaper et spesielt livsmiljø både for påvekstorganismer og bunndyr, slik at helofyttbeltet totalt sett har en artssammensetning som er vesentlig forskjellig fra samfunn uten karplanter eller med mer spredtvoksende karplanter eller karplanter tilhørende andre livs- og vekstformer. Enartsbestander er vanlig. Helofytt-saltvannssump forekommer på svært beskyttete steder med brakt vann, innerst i viker, kiler etc., typisk med tilsig av ferskvann fra landsida (ofte ved elve- eller bekkeutløp). Helofytt-saltvannssump er knyttet til finmaterialrike steder.
en|M9|Tidal rockpool seabed|Tidal rockpools are pools on rocky substrate in bedrock depressions the upper part of the tidal zone. Physically delimited from the sea, tidal rockpools typically receive sea-water supplies at high tide. Rock pools in the supralittoral belt, that are only supplied with salt water during spring tide, are considered tidal rockpools as long as the average salinity of their water is 0.5 ppt or higher. Tidal rockpools are marine exclaves in a terrestrial matrix, typically surrounded by the rocky shore (T6) major type. Temperature and salinity may vary considerably throughout the year, more in smaller than in larger rock pools and more in rock pools with infrequent sea-water supplies. Salinity decreases when freshwater is supplied by precipitation or melting snow, but increases after periodic seawater supply. Periodic hypersalinity may occur near the end of long, dry summer periods.
nb|M9|Litoralbasseng-bunn|Litoralbasseng er vannforekomster på fast fjell i fjærebeltet som er fysisk avgrenset fra havet, som regelmessig, men ikke permanent, tilføres havvann, og som ikke har permanent utløp til (og innløp fra) havet. Litoralbasseng kjennetegnes ved stor miljøvariasjon, først og fremst i temperatur og salinitet, men også utsatthet for isskuring etc. Desto mindre vannvolum bassenget inneholder og sjeldnere bassenget tilføres nytt havvann, jo større blir miljøvariabiliteten. Saliniteten avtar når mye ferskvann tilføres (f.eks. ved snøsmelting eller etter mye nedbør) og øker ved langvarig sommertørke. Tendensen til islegging om vinteren er sterkere enn i havet utenfor, og i varmeperioder om sommeren kan vannet i små litoralbasseng bli sterkt oppvarmet. Artssammensetningen skiftes gradvis ut fra dominans av tangarter i store, dype litoralbasseng med vannutskifting ved hvert tidevannsskifte (SM∙1×TV∙1) via dominans av tarmgrønske (Ulva intestinalis) og grønndusk-arter (Cladophora-arter) i mindre litoralbasseng med sjeldnere utskifting av arter (SM∙2×TV∙2), til kraftig uttynning av artssammensetningen på bunnen i temporære litoralbasseng. Det kan være stor variasjon i artssammensetning mellom bunnsystemer i litoralbasseng med samme plassering langs antatt viktige miljøgradienter.
en|T10|Arctic salt-enriched ground|Arctic salt-enriched ground comprises graminoid-dominated sites with salt-enriched topsoil brought about by upward water transport in summer. Topsoil pH is usually in the range 8.5–10.5. This major type is confined to the ‘Arctic steppe’ of the continental inner parts of Wijdefjorden, N Spitsbergen.
nb|T10|Arktisk steppe|Arktisk steppe omfatter jorddekt fastmark i klart kontinentale områder på Svalbard (kjent fra Wijdefjorden med sidefjorder), med jordsmonn preget av oppadgående vanntransport, saltanriking nær jordoverflata og pH vanligvis i intervallet 8,5–10,5. Arktisk steppe kjennetegnes av særpregete samfunn dominert av grasaktige arter. Arktisk steppe mangler bunnsjiktet av moser og lav som er karakteristisk for T3 Fjellhei, leside og tundra, dominerende natursystem-hovedtype i omkringliggende, mindre kontinentale områder.
en|T11|Hypersaline tidal marsh|Hypersaline tidal marsh occurs in the upper part of the tidal belt, in sites where evaporation of stagnant sea water causes salt enrichment of topsoils (salt pans). Hypersaline tidal marsh is species poor; single-species communities dominated by Salicornia spp. or other specialised short-lived succulents are common. Vegetation-free patches occur frequently in this major type.
nb|T11|Saltanrikingsmark i fjærebeltet|Saltanrikingsmark omfatter arealenheter i fjærebeltet der det tidvis finner sted saltanriking i eller nær markoverflata på grunn av fordampning av stagnerende vann. Saltanrikingsmark finnes først og fremst i svake forsenkninger, og forekommer både i landstrand-beltet (geolitoralbeltet) og i forsenkninger i supralitoralbeltet (saltpanner). Saltanrikingsmark har en svært artsfattig, men karakteristisk vegetasjon dominert av ettårige og kortlevete flerårige sukkulenter og noen få andre særlig salttolerante arter (halofytter). Enartssamfunn og vegetasjonsfrie flekker er vanlig. Moser mangler.
en|T12|Tidal meadow|The tidal meadow major type includes naturally open (treeless), sea salt-influenced graminoid- and herb-dominated meadows. Typically, a distinct zonation can be observed along the vertical gradient from the lower geolittoral to (and including) the supralittoral belt. This major type typically occurs in sheltered sites with fine sediments.
nb|T12|Strandeng|"Strandeng omfatter mark med sluttet, eng-preget vegetasjon (dominert av gras og urter) i fjærebeltet, som ikke er preget av saltanriking. Strandenger finnes først og fremst på steder der substratet ikke er altfor grovt (dominert av grus og/eller små stein) eller finmateriale (silt eller leire), og der bølgeeksponeringen ikke er sterkere enn at finmateriale over tid har kunnet akkumuleres mellom de grovere partiklene eller fine løsmasser har blitt forhindret fra å bli vasket bort. Fuktig finmateriale har en tendens til å konsolideres til et substrat som gir godt grunnlag for etablering av vegetasjon og stabile dyresamfunn.\n\tStrandenger finnes langs hele kysten, men betingelsene for at strandenger skal finnes og strandengenes opprinnelse er omdiskutert. Det er åpenbart at forekomsten av strandenger langs store deler av norskekysten helt eller delvis er betinget av varig menneskepåvirkning (først og fremst beiting). Mange steder har strandengene vært i bruk som beitemark fra arealene ble land gjennom landhevingen. Det betyr likevel ikke at strandengene oppsto som resultat av menneskepåvirkning. Mer sannsynlig, støttet av observasjoner av små strandengflekker i den ytre skjærgården også på Øst- og Sørlandet, er at strandenger oppstår naturlig etter hvert som nytt land blottlegges for kolonisering av landplanter gjennom landheving. Mot nord, i hvert fall fra og med Nordland, synes strandengene å kunne være stabile over lang tid, mens de lengre sør [der tidevannsamplituden er lav og konkurransesterke arter som takrør (Phragmites communis) raskt vandrer inn)] gjennomgår en (rask) suksesjon videre til andre fastmarkssystemer eller forsumpes og ender opp som M8 Helofytt-saltvannssump, dersom de ikke opprettholdes som eng-pregete systemer gjennom beiting (tidligere ble strandenger også slått). Slike strandenger skal typifiseres som T33 Semi-naturlig strandeng. Over tid utvikler alle strandenger seg til fastmarkssystemer på grunn av landheving. "
en|T13|Bare talus slope|Bare talus slope comprises sparsely vegetated or barren ground dominated by rock fragments and/or finer material resulting from physical and chemical weathering and erosion of rock faces above. During downward transport, the material is sorted with the largest fragments at the base of the talus slope and finer material near the top. The inclination of talus slopes increases from ca. 25° near the base when dominated by large boulders to ca. 37° in middle parts and more than 40° at the top. Grain size and lime richness are important LECs in this major type.
nb|T13|Rasmark|Hovedtypen rasmark omfatter ikke jorddekte deler av talusskråninger, oppstått som resultat av massebevegelse i skråninger. Talusskråninger består av materiale som har samlet seg opp gjennom årtuseners tilførsel av forvitringsmateriale fra ovenforliggende berg gjennom fjellskred, steinskred, steinsprang og jordskred, samt flomskred og snøskred (flomvann eller snø som fører med seg mineralmateriale). Forvitringsmaterialet består for det meste av blokker og steiner (ur), men kan stedvis også domineres av finere materiale, oftest grus eller sand (grus- eller sanddominert rasmark). Massebevegelse i skråninger en geomorfologisk prosess som strengt følger fysiske lover [se NiN[1] Artikkel 11 og Sulebak (2007)]. Materialet fordeles vertikalt på grunn av styrtgradering, det vil si sortering slik at materialet med størst bevegelsesenergi, det vil si de største blokkene, transporteres lengst ned og samler seg i bunnen av talus. Den dominerende kornstørrelsen øker derfor fra øverst til nederst i talusskråningen. Friksjon mellom mineralpartiklene og underlaget gjør at øvre deler av talus typisk har en helning mellom 35 og 40 °. Helningen avtar mot de nederste delene av talus, og kan komme ned i 20–25 °, som følge av styrtgraderingen. Forekomster av renner med dominans av finere materiale er vanlig. I øvre deler av talus, på steder med god tilførsel av finmateriale som er skjermet mot sterk forstyrrelse, kan det utvikle seg en rasmark-hei eller rasmark-eng (hovedtype T16 Rasmarkhei og -eng).
en|T14|Exposed ridge|Exposed ridge comprises the upper end of the topographical ‘ridge-snowbed gradient’ in alpine and arctic areas where this type is confined to convex terrain. Ecologically, this major type is characterised by lack of permanent snow cover in winter, periods with extremely low temperatures, freeze-drying conditions and physical wind abrasion. The specialised composition of stress-tolerant species is dominated by chionophobic yellow or dark lichens with scattered mosses and vascular plants. Deflation patches with exposed mineral soil (gravel or sand) may occur on the most strongly wind-exposed ridges.
nb|T14|Rabbe|Rabber er mark i fjellet og i Arktis som er preget av vindpåvirkning (VI∙a+), forårsaket først og fremst av mangelen på stabilt snødekke om vinteren. Rabber finnes på konvekse terrengformer – fjelltopper, koller, rygger og svakt konvekse, bratte skråninger der vinden får godt tak. På grunn av relativt likartet snøfordeling fra år til år (som skyldes at den framherskende vindretningen om vinteren i fjellet ofte er den samme – omkring nord), er ofte overgangen mellom lavdominert fjellhei og avblåst rabbe relativt skarp, markert ved skifte fra dominans av vedplanter [dvergbjørk (Betula nana), vier- (Salix spp.), lyngarter] og reinlav-arter (Cladonia spp.) til dominans av vindherdige lavarter som rabbeskjegg (Alectoria ochroleuca), gulskinn (Flavocetraria nivalis) og gulskjerpe (F. cucullata). For å kunne leve på rabber, må karplanter ha tilpasninger til å tåle mekanisk slitasje (snø- og isskuring om vinteren) og stor toleranse uttørkingstoleranse. Mange arter danner tette tuer eller matter. Rabber dekker vanligvis små arealer, men kan i kontinentale fjellstrøk med små snømengder (østlige deler av fjellkjeden) dekke store, sammenhengende arealer. Ekstra sterk vindvirkning kan medføre deflasjon, med flekker av naken grus (finmaterialet er erodert bort) som resultat. Rabber kan stedvis være påvirket av reinbeiting.
en|T15|Waterfall-sprayed meadow|Waterfall-sprayed meadow includes naturally open (treeless), meadow-like sites in the spray zone of waterfalls and larger streams. The vegetation is lush and mostly characterised by moisture-demanding vascular plants and bryophytes. The almost constant spray of water creates a characteristic environmental regime with lower temperatures, higher humidity and stronger winds than the surroundings. The physical properties of the spray water changes from large drops via droplets to mist and fog with increasing distance from the waterfall. Waterfall-sprayed meadows remain treeless because woody plants do not tolerate coverage by massive ice in winter, resulting from deposition of freezing waterfall spray.
nb|T15|Fosse-eng|"Fosse-eng omfatter naturlig åpne, grunnlendte, men jorddekte, engpregete fastmarksarealer i fossesprutsonen langs elveløp med fosser og fossestryk. Fosse-eng finnes først og fremst i ytterkanten av fossesprutsonen, særlig rundt ’foten’ av en foss. Fosse-engene inneholder, på grunn av de lange periodene med konstant fuktig mikroklima, en frodig karplantevegetasjon. De fleste artene i fosse-enger tåler imidlertid også tørrere perioder. Vannspruten jevner ut temperaturvariasjonen gjennom året; om sommeren er det kjøligere på fosseberg enn i tilgrensende områder lengre fra fossen, om vinteren mildere inntil fossen eventuelt fryser til med is. Arter som skal klare seg i fosse-eng må tåle innfrysing i is om vinteren. Fuktigheten avtar langs en gradient vekk fra fossen fordi den totale vanntilførselen og dråpestørrelsen avtar (fra tunge dråper nær fossen til fint ’fossestøv’ lenger unna). Natursystem-hovedtypen fosse-eng kan også finnes på finere sedimenter i nedre deler av ur (eller skredmark) nær foss.\n\tArtssammensetningen i fosse-eng har likhetstrekk både med kildevannspåvirkete utforminger av T4 Fastmarksskogsmark og T3 Fjellhei, leside og tundra. Årsaken til at fosse-engene forblir åpne, også nedenfor skoggrensa, er at vedplanter tåler dårlig å fryse inn i is om vinteren. Innfrysing i is kan finne sted i perioder med kuldegrader i lufta samtidig som vannet i fossen ikke er frosset. Mot store fosser setter sterk vannsprutintensitet grensa for jordsmonnsdannelse, og dermed også for forekomst av fosse-eng."
en|T16|Talus-slope heath and meadow|Talus-slope heath and meadow comprises naturally open (treeless) sites in talus slopes with more or less continuous vegetation cover. The dominating plant groups shift from ericaceous species in lime-poor sites (heaths) to herbs and graminoids in lime-rich sites (meadows). Establishment of trees is prevented by relatively high snow avalanche disturbance intensity.
nb|T16|Rasmarkhei og -eng|Rasmarkhei og rasmarkeng omfatter deler av talusskråninger med stabilisert, jorddekt mark og sluttet vegetasjon med hei- eller engpreg, som oftest har betydelige likhetstrekk med T2 Åpen grunnlendt mark og T3 Fjellhei, leside og tundra. Forskjeller i artssammensetning mellom rasmarkheier og -enger og annen natur på åpen fastmark er først og fremst et resultat av regulerende forstyrrelse i form av gjentatte snøras om vinteren og utrasing av forvitringsmateriale. Forekomst av rasmarkhei og rasmarkeng innenfor en talusskråning forutsetter både forekomst av stabilisert finmateriale og aktive prosesser som hindrer utvikling av fastmarkssystemene som dominerer på ’normal’ stabil mark; det vil under skoggrensa si T4 Fastmarksskogsmark og over skoggrensa T3 Fjellhei, leside og tundra. Sorteringen av forvitringsmaterialet ved styrtgradering (se NiN[1] Artikkel 11) fører til at det ofte finnes et finmaterialrikt område oppunder bergrota. Derfor er det først og fremst der at rasmarkheier og rasmarkenger (’bergrot-enger’) forekommer. Deler av talusskråninger uten stabilisert, jorddekt mark typifiseres som T13 Rasmark.
en|T17|Open active landslide|The open active landslide major type includes steep slopes at sites where active mass transportation processes are strong enough to prevent establishment of forest. The substrate is unstable and dominated by soil or fine mineral material (gravel, sand, silt or clay). The major type is most commonly found along rivers and streams that run through thick fluvial or glacifluvial deposits, e.g. ravines, where landslide processes are kept active by riverbank erosion. The vegetation is sparse, consisting of a bryophyte- or lichen-dominated crust, a meadow-like sward or low thickets.
nb|T17|Aktiv skredmark|Åpen skredmark omfatter mark på ustabilt substrat, dominert av jord eller oftere fint mineralmateriale (grus, sand, silt eller leire). Åpen skredmark finnes i bratte skråninger med aktive massebevegelsesprosesser (se NiN[1] Artikkel 11) som fører til hyppig skredaktivitet, men der skredene ikke er større enn at arealenhetene opprettholder en mosaikk mellom nakne vegetasjonsdekte partier. Åpen skredmark finnes hyppigst langs elver og bekker som renner gjennom tjukke løsmasselag (f.eks. i ravinedaler), Elver som undergraver bakkeskråninger i løsmateriale vil på grunn av evnen til sideerosjon holde skråningen bratt og derigjennom sørge for at skredmarka stadig forstyrres av gjentatte småskred.
en|T18|Open alluvial sediment|Open alluvial sediment includes naturally open (treeless), periodically flooded banks of rivers and lakes. The major type is conditioned on water-mediated disturbance with intensity high enough to prevent establishment of trees. Alluvial processes (in rivers) and wave action (in lakes) regulate the composition of the sediment by balancing sedimentation and erosion. The dominant grain size varies from clay to stone, depending on disturbance intensity.
nb|T18|Åpen flomfastmark|Åpen flomfastmark omfatter åpne fastmarksarealer i flomsonen, først og fremst langs større elver, men også på innsjø-landstrand, på sorterte sedimenter med dominerende kornstørrelse fra stein til leire. Åpen flomfastmark langs elver er vanligvis utsatt for veksling mellom erosjon (i perioder med stor vannføring) og sedimentasjon i perioder med lavere vannføring. Vannets eroderende kraft er avhengig av innholdet av bre- eller elvesedimenter. Åpen flommark, det vil si ikke tresatt flommark, forutsetter sterk eksponering overfor vannforstyrrelse. For at flommarka skal forbli åpen, må vannets forstyrrelseseffekt være så sterk at vedvekster ikke klarer å etablere seg og/eller opprettholde stabile bestander over tid. Vannforstyrrelseseffekten øker mot elveløpet eller vannkanten. De største sammenhengende arealenhetene av åpen flomfastmark finnes på elvesletter (innlandsdeltaer) og langs større elver i flate dalbunner, særlig der elver møtes.
en|T19|Patterned ground|Patterned ground consists of regular rings, polygons or stripes of coarse mineral material which alternate with fine, predominantly silt-dominated material. This major type, which is conditioned on strong frost-mediated disturbance (cryoturbation), is typically found in relatively flat areas with permafrost and high groundwater table in the middle and high alpine bioclimatic zones and in the Arctic.
nb|T19|Oppfrysingsmark|Oppfrysingsmark er en veldefinert naturtype som omfatter mark, ofte med fuktmarkskarakter, i mellomarktisk og nordarktisk, mellomalpin og høgalpin bioklimatisk sone. Oppfrysingsmark er knyttet til områder med permafrost og sterk frostvirkning (oppfrysing, kryoturbasjon) som gir opphav til karakteristiske mikro-landformer (regelmessige ring-, polygon- eller stripestrukturer av grovt mineralmateriale som alternerer med fint, overveiende silt-dominert materiale (‘finjord’) i et mer eller mindre regelmessig mønster. Oppfrysingsmark mangler sammenhengende karplantedekke med vedplanter. På det forstyrrelsesutsatte jordsmonnet i finjordsflekkene er artsutvalget begrenset til forstyrrelsestolerante arter; levermoser spiller en viktig rolle. På de grovere substratene kan det finnes lav, men lavdekningen avtar sterkt når frostprosessene blir særlig aktive. Både finjords- som grovmaterialområdene inngår i T19 Oppfrysingsmark.
en|T1|Bare rock|Bare rock includes rock surfaces without soil cover or with a soil cover too thin to support vascular plants. Bare rock may lack vegetation or support lichen- and/or moss-dominated communities. Bare rock comprises rock walls, rock pavements and rock outcrops. Lime richness and risk of desiccation are the most important LECs; other important LECs are supply of trickling water and slope-related disturbance intensity. Bare rock also includes specialised ecosystems in the spray zone near waterfalls, in snowbeds, on wind-exposed rock outcrops and ornitocoprophilic communities on bird perching stones.
