minorType_id|language_id|key|value
T4-2|nb|Terreng- og flyfotokarakteristikk|Alle terrengposisjoner, men mer frekvent i flate, jevnt hellende eller konkave terrengposisjoner enn i opplendte, grunnlendte partier. Dominerende treslag og tresjiktstetthet er styrende for gjenkjenning i flyfoto, tekstur varierende. Farge mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog. Tekstur og farge ofte konsistent innen regioner.
T4-2|en|<name>|Intermediately lime-rich submesic forest
T4-2|en|Physiognomy|Most often shady forests characterized by blueberry dominance as well as the presence of small ferns and some herbs, grasses and mosses that do not find enough nutrients in the blueberry forest. Typically, a continuous moss cover at the bottom, on wetlands is dominated by peat bogs. Most important in terms of area is spruce forest with a sparse element of boreal deciduous trees. In BN also represented by oak forest and beech forest, while birch forest dominates large areas in NB and parts of the country outside the spruce distribution area. Pine can also be dominant.
T4-2|en|Ecological characteristics|The field layer includes a limited number of species with blueberries and its companion species from the blueberry forest (including the small fern design) as well as scattered occurrences of somewhat more lime-demanding species such as woodcock and medical veronica. Occurs on slightly more calcareous bedrock, different exposure and slope conditions and a soil that is usually characterized by a podsol profile, at the top with mother-type humus layers and which retains a relatively stable moisture.
T4-2|en|Terrain and aerial photo characteristics|All terrain positions, but more frequently in flat, evenly sloping or concave terrain positions than in upland, shallow sections. Dominant wood species and wood layer density are governing for recognition in aerial photography, texture varying. Color dark green in spruce forest, light green in deciduous forest, green-gray in pine forest. Texture and color often consistent within regions.
T4-20|nb|<name>|Tørkeutsatt høgstaudeskog
T4-20|nb|Fysiognomi|Halvåpen, furudominert skog. Karakterisert ved stort artsmangfold av urter og gras, ofte også uttørkingstolerante busker som f.eks. einer. Alternerer ofte med mer kalkfattige og/eller ikke kildevannspåvirkede naturtyper.
T4-20|nb|Økologisk karakteristikk|Kjennetegnet ved periodevis tilførsel av oksygenrikt og kalkrikt sigevann, men sesongfuktig og utsatt for gjentatt og tidvis sterk uttørring. Artsutvalget består av typiske ”kalkfuruskogsarter”, med innslag av noen arter fra høgstaudeskogene. Forekommer på kalkrik berggrunn og i blant på mer kalkfattige bergarter som tilføres sigevann som har vært i kontakt med mer kalkrike bergarter.
T4-20|nb|Terreng- og flyfotokarakteristikk|Utbredt i lisider, ofte relativt slake, særlig i sørvendte terrengposisjoner med god omsetning og redusert humusdannelse. FF: Farge varierer avhengig av dominerende treslag og tresjiktstetthet, men tresjiktet ofte olivingrønt (furudominans). Mørkt grønn ved høyt innslag av einer og lyngarter, ellers vanligvis grønn. Tekstur og farge konsistent innen og mellom regioner.
T4-20|en|<name>|Strongly lime-rich subxeric tall-herb forest
T4-20|en|Physiognomy|Semi-open, pine-dominated forest. Characterized by large species diversity of herbs and grasses, often also drought-tolerant shrubs such as. one. Alternates often with more calcareous and / or non-spring water-affected habitats.
T4-20|en|Ecological characteristics|"Characterized by periodic supply of oxygen-rich and calcareous leachate, but seasonally moist and exposed to repeated and occasionally strong drying. The species selection consists of typical ""lime pine forest species"", with elements of some species from the perennial forests. Occurs on calcareous bedrock and sometimes on more calcareous rocks that are supplied with leachate that has been in contact with more calcareous rocks."
T4-20|en|Terrain and aerial photo characteristics|Widespread in lisides, often relatively gentle, especially in south-facing terrain positions with good turnover and reduced humus formation. FF: Color varies depending on the dominant tree species and tree layer density, but the tree layer is often olive green (pine dominance). Dark green with high levels of juniper and heather, otherwise usually green. Texture and color consistent within and between regions.
T4-3|nb|<name>|Lågurtskog
T4-3|nb|Fysiognomi|Oftest skyggefulle skoger preget av urter og gras. Skogbunnen har varierende mosedekning av delvis mer krevende arter, og god bonitet med tett tresjikt og lite lys kan ofte begrense undervegetasjonen, slik at deler av skogbunnen er rent barnålteppe eller dekket av lauvstrø. Arealmessig viktigst er granskog, med sparsomt innslag av boreale lauvtrær. I BN også representert ved edellauvskog, mens bjørkeskog dominerer store arealer i NB og landsdeler utenfor granas utbredelsesområde. Der kan også furu være dominant.
T4-3|nb|Økologisk karakteristikk|Typen kan være relativt artsrik, og en klassisk skilleart fra fattigere typer er blåveis. Forekommer på kalkrik berggrunn, ulike eksposisjons- og helningsforhold. Jordsmonnet er kjennetegnet av et brunjordsprofil som holder en relativt stabil fuktighet.
T4-3|nb|Terreng- og flyfotokarakteristikk|Forekommer i alle terrengposisjoner, men mer frekvent i flatt, jevnt hellende eller konkave terrengposisjoner enn opplendte, ofte grunnlendte partier. Dominerende treslag og tresjiktstetthet styrende for gjenkjenning i flyfoto, tekstur varierende. Mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog. Lysere grønn farge i skogglenner (ikke i skygge) i flyfoto. Tekstur og farge ofte konsistent innen regioner.
T4-3|en|<name>|Moderately lime-rich submesic forest
T4-3|en|Physiognomy|Most often shady forests characterized by herbs and grasses. The forest floor has varying moss cover of partly more demanding species, and good quality with a dense layer of wood and little light can often limit the undergrowth, so that parts of the forest floor are pure baby needle blanket or covered with deciduous litter. The most important in terms of area is spruce forest, with sparse elements of boreal deciduous trees. In BN also represented by noble deciduous forest, while birch forest dominates large areas in NB and parts of the country outside the spruce distribution area. Pine can also be dominant.
T4-3|en|Ecological characteristics|The type can be relatively rich in species, and a classic distinguishing species from poorer types is blue. Occurs on calcareous bedrock, various exposure and slope conditions. The soil is characterized by a brown soil profile that maintains a relatively stable moisture.
T4-3|en|Terrain and aerial photo characteristics|Occurs in all terrain positions, but more frequently in flat, evenly sloping or concave terrain positions than uplifted, often grounded sections. Dominant wood species and wood layer density governing for recognition in aerial photography, texture varying. Dark green in spruce forest, light green in deciduous forest, green-gray in pine forest. Lighter green color in forest clearings (not in shadow) in aerial photo. Texture and color often consistent within regions.
T4-4|nb|<name>|Kalklågurtskog
T4-4|nb|Fysiognomi|Oftest skyggefulle skoger på mer eller mindre grunnlendt mark. Kalkgranskog dekker trolig størst areal i BN, der det finnes alle overganger til ren edellauvskog på de klimatisk gunstigste lokalitetene. Frekvent som bjørkeskog i NB og ellers i alle landsdeler utenfor granas utbredelsesområde, der forutsetningene for kalklågurtskog er til stede.
T4-4|nb|Økologisk karakteristikk|Ofte lite og trivielt innslag av lågurter som ikke skiller seg mye fra mer ordinære lågurtskoger, men med noen få utslagsgivende plantearter. Typen kan være sterkt mosedominert (gjerne etasjemose). Best karakterisert av en rekke kravfulle kalkbarskogs-sopper. Framstikkende kalkrike bergknauser med moseflora typisk for kalkrike berg indikerer også kalklågurtskog. Forekommer på kalkrik berggrunn, ulike eksposisjons- og helningsforhold og et jordsmonn kjennetegnet av et brunjordsprofil og som holder en relativt stabil fuktighet. På kalkrik grunn med tjukt humuslag erstattes kalklågurtskogen av skogsmarkstyper med lavere realisert KA-trinn.
T4-4|nb|Terreng- og flyfotokarakteristikk|Forekommer i alle terrengposisjoner, men ofte i opplendte partier. Dominerende treslag og tresjiktstetthet styrende for gjenkjenning i flyfoto, som i T4-C-3. Mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog. Tekstur varierende, men ofte ujevn. Tekstur og farge ofte konsistent innen regioner.
T4-4|en|<name>|Strongly lime-rich submesic forest
T4-4|en|Physiognomy|Most often shady forests on more or less shallow ground. Lime spruce forest probably covers the largest area in BN, where there are all transitions to pure deciduous forest in the most climatically favorable localities. Frequent as birch forest in NB and elsewhere in all parts of the country outside the spruce distribution area, where the preconditions for limestone lowland forest are present.
T4-4|en|Ecological characteristics|Often small and trivial elements of lichen herbs that do not differ much from more ordinary lichen herbs, but with a few decisive plant species. The type can be strongly dominated by moss (preferably floor moss). Best characterized by a variety of demanding limestone forest mushrooms. Protruding calcareous boulders with moss flora typical of calcareous rocks also indicate calcareous lowland forest. Occurs on calcareous bedrock, different exposure and slope conditions and a soil characterized by a brown soil profile and which retains a relatively stable moisture. On calcareous soils with a thick humus layer, the calcareous low-belt forest is replaced by forest land types with a lower realized KA stage.
T4-4|en|Terrain and aerial photo characteristics|Occurs in all terrain positions, but often in uplifted areas. Dominant wood species and wood layer density governing for recognition in aerial photos, as in T4-C-3. Dark green in spruce forest, light green in deciduous forest, green-gray in pine forest. Texture varied, but often uneven. Texture and color often consistent within regions.
T4-5|nb|<name>|Bærlyngskog
T4-5|nb|Fysiognomi|Oftest skyggefulle til halvåpne skoger med lyng- og dels mosedominans, men med økende mengde lav mot mer kontinentale strøk. Innenfor granas utbredelsesområde barblandingsskog, som varierer fra grandominans med konstant innslag av furu til mer likeverdig blanding av de to. Med innslag eller dominans av eik i BN på Sørlandet. Utviklet som furu- og/eller bjørkeskog utenfor granas utbredelsesområde, som ren bjørkeskog opp mot fjellet.
T4-5|nb|Økologisk karakteristikk|Bærlyngdominans med mer eller mindre sterkt innslag av røsslyng, og med få andre arter i feltsjiktet. Furumose og sigdmoser, stedvis også etasjemose eller reinlavarter, er karakteristiske i bunnsjiktet. Gran-, lyng- og tvaretorvmose dominerer på fuktmark. Forekommer på kalkfattig berggrunn. Jordsmonnet danner et podsolprofil og er som regel tynnere og mer tørkeutsatt enn i blåbærskogen.
T4-5|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og svakt konvekse terrengformer. Kan dekke store arealer på elve- og breelvavsetninger (furumoer). Dominerende treslag og tresjiktstetthet er styrende for gjenkjenning i flyfoto, tekstur varierende. Mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog; i flyfoto framtrer åpne partier oftest som grønne til grønnbrune. Tekstur og farge konsistent innen og mellom regioner.
T4-5|en|<name>|Lime-poor submesic to subxeric forest
T4-5|en|Physiognomy|Most often shady to semi-open forests with heather and partly moss dominance, but with increasing amounts of lichen towards more continental areas. Within the spruce distribution area, bare-mixed forest, which varies from grandominance with a constant element of pine to a more equal mixture of the two. With elements or dominance of oak in BN in Sørlandet. Developed as a pine and / or birch forest outside the spruce distribution area, as pure birch forest up against the mountain.
T4-5|en|Ecological characteristics|Berry heather dominance with more or less strong elements of heather, and with few other species in the field layer. Pine bogs and sickle bogs, in some places also floor bogs or reindeer lichens, are characteristic of the bottom layer. Spruce, heather and peat bog dominate on wetlands. Occurs on calcareous bedrock. The soil forms a podsol profile and is usually thinner and more prone to drought than in the blueberry forest.
T4-5|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and slightly convex terrain. Can cover large areas on river and glacial deposits (pine forests). Dominant wood species and wood layer density are governing for recognition in aerial photography, texture varying. Dark green in spruce forest, light green in deciduous forest, green-gray in pine forest; in aerial photography, open areas most often appear as green to green-brown. Texture and color consistent within and between regions.
T4-6|nb|<name>|Svak bærlyng-lågurtskog
T4-6|nb|Fysiognomi|Oftest skyggefulle til halvåpne skoger med lyng- og dels mosedominans, men økende mengde lav mot mer kontinentale strøk. Innenfor granas utbredelsesområde barblandingsskog, som varierer fra grandominans med konstant innslag av furu til mer likeverdig blanding av de to. Med innslag av eik i BN. Utviklet som furu- og/eller bjørkeskog utenfor granas utbredelsesområde, som ren bjørkeskog opp mot fjellet.
T4-6|nb|Økologisk karakteristikk|Bærlyngdominans med mer eller mindre sterkt innslag av røsslyng, og med få andre arter i feltsjiktet. Furumose og sigdmoser, stedvis også etasjemose eller reinlavarter, er karakteristiske i bunnsjiktet. Forekommer på kalkfattig berggrunn, men med noe bedre kalkrik enn bærlyngskog, T4-C-5. Dette gir seg utslag i at det sammenliknet med denne kartleggingsenheten kommer inn noen få, spredte, litt mer kalkkrevende arter. Jordsmonnet er typisk et svakt podsolprofil som vanligvis er tynnere og mer tørkeutsatt enn i svak lågurtskog på frisk mark.
T4-6|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og svakt konvekse terrengformer. Skogglenner ofte med grønn til grønn-brunlig farge i fargefoto. Ellers varierer farge og tekstur med dominerende treslag og tresjiktstetthet. Mørkt grønn i granskog, lys grønn i løvskog, grønn-grå i furuskog. Ujevn tekstur. Tekstur og farge konsistent innen regioner.
T4-6|en|<name>|Intermediately lime-rich submesic to subxeric forest
T4-6|en|Physiognomy|Most often shady to semi-open forests with heather and partly moss dominance, but increasing amount of low towards more continental areas. Within the spruce distribution area, bare-mixed forest, which varies from grandominance with a constant element of pine to a more equal mixture of the two. With elements of oak in BN. Developed as a pine and / or birch forest outside the spruce distribution area, as pure birch forest up against the mountain.
T4-6|en|Ecological characteristics|Berry heather dominance with more or less strong elements of heather, and with few other species in the field layer. Pine bogs and sickle bogs, in some places also floor bogs or reindeer lichens, are characteristic of the bottom layer. Occurs on calcareous bedrock, but with slightly better calcareous than berry heather forest, T4-C-5. This is reflected in the fact that, compared with this mapping unit, a few, scattered, slightly more lime-demanding species enter. The soil is typically a weak podsol profile which is usually thinner and more prone to drought than in weak low-grass forests on fresh soil.
T4-6|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and slightly convex terrain. Forest glades often with green to green-brownish color in color photo. Otherwise, color and texture vary with the dominant wood species and wood layer density. Dark green in spruce forest, light green in deciduous forest, green-gray in pine forest. Uneven texture. Texture and color consistent within regions.
T4-7|nb|<name>|Bærlyng-lågurtskog
T4-7|nb|Fysiognomi|Oftest skyggefulle til halvåpne skoger med urter og mosedominans: mengden lav øker mot mer kontinentale strøk. Innenfor granas utbredelsesområde barblandingsskog, som varierer fra grandominans med konstant innslag av furu til mer likeverdig blanding av de to. Med innslag av eik i BN. Utviklet som furu- og/eller bjørkeskog utenfor granas utbredelsesområde, som ren bjørkeskog opp mot fjellet.
T4-7|nb|Økologisk karakteristikk|Omfatter den friskeste og minst kalkrike delen av det som tradisjonelt betegnes kalkfuruskog; dvs. middels kalkrik furuskog med innslag av litt tørketålende lågurter som skogfiol, legeveronika, markjordbær, knollerteknapp, teiebær, liljekonvall mv. Forekomst av sterke kalkindikatorer, typisk orkideer, mangler. Finnes ofte på lettforvitrede bergarter som amfibolitt, larvikitt, gabbro, basalt, rombeporfyr, gjerne på varme steder. Forekomster av bærlyng-lågurtfuruskog utenfor kalkområdene er ofte betinget av svak sigevannspåvirkning (sesongfuktig). Få plantearter skiller denne typen fra den mest kalkrike bærlyng-lågurtskogen. Jordsmonnet er et brunjordsprofil.
T4-7|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og andre konvekse terrengformer. Farge i flyfoto varierer avhengig av dominerende treslag og tresjiktstetthet. Granskog gir mørk grønn farge som lysner med økende andel lauvtrær; grønnfargen er lysere i skogglenner. Tekstur ofte varierende. Tekstur og farge ofte konsistent innen regioner.
T4-7|en|<name>|Moderately lime-rich submesic to subxeric forest
T4-7|en|Physiognomy|Most often shady to semi-open forests with herbs and moss dominance: the amount of lichen increases towards more continental areas. Within the spruce distribution area, bare-mixed forest, which varies from grandominance with a constant element of pine to a more equal mixture of the two. With elements of oak in BN. Developed as a pine and / or birch forest outside the spruce distribution area, as pure birch forest up against the mountain.
T4-7|en|Ecological characteristics|Includes the freshest and least calcareous part of what is traditionally called calcareous pine forest; ie medium calcareous pine forest with elements of slightly drought-tolerant low herbs such as forest violin, medicinal veronica, wild strawberry, tuber button, tea berry, lily of the valley, etc. Occurrence of strong lime indicators, typically orchids, is lacking. Often found on slightly weathered rocks such as amphibolite, larvicite, gabbro, basalt, rhombic porphyry, often in warm places. Occurrences of berry heather-low-grass pine forest outside the limestone areas are often due to weak seepage water effects (seasonally moist). Few plant species distinguish this type from the most calcareous berry heather-low-grass forest. The soil is a brown soil profile.
T4-7|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and other convex terrain forms. Color in aerial photography varies depending on the dominant tree species and tree layer density. Spruce forest gives a dark green color that brightens with increasing proportion of deciduous trees; the green color is lighter in forest clearings. Texture often varying. Texture and color often consistent within regions.
T4-8|nb|<name>|Bærlyng-kalklågurtskog
T4-8|nb|Fysiognomi|Engpreget, frodig, urte- og grasrik skog, oftest en ganske åpen furuskog med skogkant mot åpen kalkmark og bergvegger.
T4-8|nb|Økologisk karakteristikk|Omfatter den friskeste og mest kalkrike delen av det som tradisjonelt betegnes urterik kalkfuruskog; med innslag av litt tørketålende lågurter som skogfiol, legeveronika, markjordbær, knollerteknapp, teiebær, liljekonvall mv. Også utforminger der ”kalkeffekten” skyldes tilførsler av sigevann kombinert med periodevis uttørking og da gjerne som en mosaikk mellom en veldrenert utforming og en fuktmarksutforming. Forekomst av sterke kalkindikatorer, bl.a. orkideer, som mangler i bærlyng-lågurtskog, skiller T4–C-8 fra denne. I BN kan varmekjære lauvtrær og busker utgjøre en viktig del av tre- og busksjiktet og noen ganger være dominerende (f.eks. tørkeutsatt kalklindeskog). Jordsmonnet er et typisk brunjordsprofil, men er som regel tynnere enn i kalklågurtskog på frisk mark. Skilles også fra kalkfattigere typer ved forekomst av flere kalkkrevende sopparter.
T4-8|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på rygger og andre konvekse terrengformer. Farge i flyfoto varierer med dominerende treslag og tresjiktstetthet. Granskog gir mørk grønn farge som lysner med økende andel lauvtrær; grønnfargen er lysere i skogglenner. Tekstur ofte varierende. Tekstur og farge ofte konsistent innen regioner.
T4-8|en|<name>|Strongly lime-rich submesic to subxeric forest
T4-8|en|Physiognomy|Meadow-like, lush, herbaceous and grassy forest, most often a fairly open pine forest with forest edge against open limestone land and rock walls.
T4-8|en|Ecological characteristics|"Includes the freshest and most calcareous part of what is traditionally called herbaceous calcareous pine forest; with hints of slightly drought-tolerant low herbs such as forest violet, medicinal veronica, wild strawberries, tuber buds, tea berries, lily of the valley, etc. Also designs where the ""lime effect"" is due to inputs of leachate combined with periodic drying and then often as a mosaic between a well-drained design and a wetland design. Occurrence of strong lime indicators, i.a. orchids, which are lacking in berry heather-low-grass forest, separate T4 – C-8 from this. In BN, heat-loving deciduous trees and shrubs can form an important part of the tree and shrub layer and are sometimes dominant (eg drought-exposed limestone forest). The soil is a typical brown soil profile, but is usually thinner than in calcareous lowland forest on fresh soil. Also distinguished from poorer types of lime in the presence of several limestone-demanding fungal species."
T4-8|en|Terrain and aerial photo characteristics|Occurs under different exposure and inclination conditions, but especially on ridges and other convex terrain forms. Color in aerial photography varies with dominant wood species and wood layer density. Spruce forest gives a dark green color that brightens with increasing proportion of deciduous trees; the green color is lighter in forest clearings. Texture often varying. Texture and color often consistent within regions.
T4-9|nb|<name>|Lyngskog
T4-9|nb|Fysiognomi|Oftest halvåpne skoger hvor røsslyng gjerne spiller en svært viktig rolle. Bunnsjiktet er dominert av reinlaver i de mest kontinentale strøkene; andelen moser øker mot mer oseaniske strøk. Furu er det dominerende treslaget i mesteparten av landet. I BN, særlig på Sørlandet, kan også eik være et viktig innslag. Innenfor granas utbredelsesområde barblandingsskog, som varierer fra grandominans med konstant innslag av furu til mer likeverdig blanding av de to. Utviklet som furu- og/eller bjørkeskog utenfor granas utbredelsesområde, som ren bjørkeskog opp mot fjellet.
T4-9|nb|Økologisk karakteristikk|Feltsjiktet typisk dominert av nøysomme og tørketolerante arter, i tillegg til røsslyng også bærlyng-arter. Furumose er ofte viktigste moseart og kan dominere på veldrenert mark, mens furutorvmose er viktigste dominant på fuktmark. Heigråmose spiller stor rolle og er dominerende mengdeart i oseaniske strøk. Lys og grå reinlav er karakteristiske innslag i bunnsjiktet. Kartleggingsenheten er knyttet til kalkfattig og tørkeutsatt grunn. Jordprofilet er et podsolprofil, men på mark med tynt jordsmonn utvikles ikke noen karakteristisk jordprofil. Kan dekke store arealer på elve- og breelvavsetninger (”furumoer”). 
T4-9|nb|Terreng- og flyfotokarakteristikk|Opptrer under ulike eksposisjons- og helningsforhold, men særlig på veldrenerte flater, rygger og toppområder. Kan dekke store arealer på elve- og breelvavsetninger (”furumoer”). Farge varierer avhengig av dominerende treslag og tresjiktstetthet. Furudominans i tresjiktet gir olivengrønn farge, oftest med brun til mørkere grønnbrun farge i skogglenner. Ved høyere innslag av heigråmose (O2-O3) eller lyse lavarter dår enheten en mer grålig farge. Tekstur ofte varierende. Tekstur og farge ofte konsistent innen og mellom regioner gitt sammenliknbare dominansforhold i tre- og bunnsjikt.
T4-9|en|<name>|Lime-poor subxeric forest
T4-9|en|Physiognomy|Most often semi-open forests where heather often play a very important role. The bottom layer is dominated by reindeer lichens in the most continental regions; the proportion of mosses is increasing towards more oceanic areas. Pine is the dominant tree species in most of the country. In BN, especially in Sørlandet, oak can also be an important element. Within the spruce distribution area, bare-mixed forest, which varies from grandominance with a constant element of pine to a more equal mixture of the two. Developed as a pine and / or birch forest outside the spruce distribution area, as pure birch forest up against the mountain.
T4-9|en|Ecological characteristics|"The field layer is typically dominated by frugal and drought tolerant species, in addition to heather also berry heather species. Pine moss is often the most important moss species and can dominate on well-drained soil, while pine peat moss is the most dominant on moist soil. Heigråmose plays a major role and is the dominant abundant species in oceanic areas. Light and gray reindeer lichen are characteristic elements in the bottom layer. The mapping unit is linked to low-calcium and drought-prone soil. The soil profile is a podsol profile, but on soil with thin soil no characteristic soil profile is developed. Can cover large areas on river and glacial deposits (""furumos"")."
T4-9|en|Terrain and aerial photo characteristics|"Occurs under different exposure and inclination conditions, but especially on well-drained surfaces, ridges and top areas. Can cover large areas on river and glacial deposits (""furumos""). Color varies depending on the dominant wood species and wood layer density. Pine dominance in the wood layer gives olive green color, most often with brown to darker green-brown color in forest clearings. At higher elements of heather gray moss (O2-O3) or light lichens, the unit has a more greyish color. Texture often varying. Texture and color often consistent within and between regions given comparable dominance conditions in wood and bottom layers."
